epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,705.113,0.6856,0.82426,1.00002,0.88651,0.92581,0.953,0.70253,0.96541,0.64081,1.01382,6.7529e-05,6.7529e-05,6.7529e-05
41,724.405,0.67345,0.8132,0.99466,0.91618,0.93311,0.96109,0.74897,0.77539,0.6014,0.9598,6.644e-05,6.644e-05,6.644e-05
42,743.788,0.67958,0.80958,0.99698,0.90981,0.90857,0.95233,0.73732,0.79131,0.61831,0.97046,6.5351e-05,6.5351e-05,6.5351e-05
43,762.504,0.68971,0.81015,1.00759,0.88185,0.92855,0.94874,0.74212,0.78433,0.59676,0.96132,6.4262e-05,6.4262e-05,6.4262e-05
44,781.063,0.68094,0.78874,0.99171,0.90764,0.94113,0.96048,0.71952,0.88723,0.61646,0.99619,6.3173e-05,6.3173e-05,6.3173e-05
45,799.329,0.667,0.77955,1.00238,0.92005,0.96616,0.95858,0.68673,0.99387,0.62174,1.04228,6.2084e-05,6.2084e-05,6.2084e-05
46,817.295,0.67517,0.76413,1.01471,0.92708,0.91393,0.95822,0.7576,0.76916,0.59103,0.96006,6.0995e-05,6.0995e-05,6.0995e-05
47,835.368,0.66998,0.77122,1.01161,0.89459,0.96822,0.94866,0.72256,0.86503,0.62291,0.99095,5.9906e-05,5.9906e-05,5.9906e-05
48,853.317,0.66134,0.75355,0.99942,0.91494,0.93511,0.96,0.72874,0.86074,0.60372,0.99075,5.8817e-05,5.8817e-05,5.8817e-05
49,871.615,0.69293,0.76259,1.0075,0.90969,0.89284,0.94783,0.7668,0.73051,0.57636,0.96145,5.7728e-05,5.7728e-05,5.7728e-05
50,889.651,0.64547,0.73468,0.97768,0.88408,0.95344,0.96004,0.74553,0.80117,0.5695,0.96234,5.6639e-05,5.6639e-05,5.6639e-05
51,907.76,0.68796,0.80842,0.99949,0.92346,0.90976,0.94967,0.70819,0.9221,0.60701,1.00997,5.555e-05,5.555e-05,5.555e-05
52,927.235,0.62942,0.72599,0.98293,0.90119,0.91075,0.94956,0.76142,0.74062,0.57384,0.95047,5.4461e-05,5.4461e-05,5.4461e-05
53,946.922,0.63124,0.71479,0.98054,0.91776,0.90814,0.95253,0.74491,0.80681,0.58359,0.97817,5.3372e-05,5.3372e-05,5.3372e-05
54,966.246,0.63823,0.707,0.98243,0.89748,0.94141,0.94904,0.72309,0.86613,0.6058,0.98929,5.2283e-05,5.2283e-05,5.2283e-05
55,985.324,0.65343,0.70416,0.98512,0.93758,0.89791,0.95623,0.76543,0.72081,0.58563,0.9513,5.1194e-05,5.1194e-05,5.1194e-05
56,1003.84,0.62941,0.69091,0.97588,0.9371,0.89703,0.95256,0.73037,0.8597,0.58645,0.9873,5.0105e-05,5.0105e-05,5.0105e-05
57,1022.06,0.62621,0.68919,0.97992,0.90082,0.93657,0.94497,0.72115,0.87917,0.5855,0.99016,4.9016e-05,4.9016e-05,4.9016e-05
58,1040.26,0.64126,0.70279,0.97485,0.89413,0.88965,0.93666,0.762,0.6871,0.55463,0.94149,4.7927e-05,4.7927e-05,4.7927e-05
59,1058.53,0.63326,0.68814,0.97541,0.92144,0.87425,0.94409,0.75145,0.79267,0.57855,0.96917,4.6838e-05,4.6838e-05,4.6838e-05
60,1077.84,0.61357,0.67025,0.97069,0.8876,0.93254,0.9455,0.73136,0.85077,0.58892,0.98282,4.5749e-05,4.5749e-05,4.5749e-05
61,1097.27,0.6295,0.67431,0.98214,0.88401,0.93339,0.94141,0.70823,0.90186,0.5972,1.00062,4.466e-05,4.466e-05,4.466e-05
62,1116.43,0.59342,0.65983,0.94706,0.88714,0.93294,0.94555,0.75374,0.75482,0.56962,0.96144,4.3571e-05,4.3571e-05,4.3571e-05
63,1134.03,0.60732,0.6641,0.96542,0.89692,0.9282,0.95431,0.74397,0.81065,0.57943,0.98038,4.2482e-05,4.2482e-05,4.2482e-05
64,1151.99,0.61323,0.65612,0.96604,0.88278,0.92616,0.9526,0.74847,0.80933,0.57786,0.98554,4.1393e-05,4.1393e-05,4.1393e-05
65,1170.03,0.59757,0.66378,0.9651,0.88682,0.91684,0.94962,0.77446,0.67262,0.54428,0.92838,4.0304e-05,4.0304e-05,4.0304e-05
66,1187.81,0.59931,0.64397,0.9563,0.89921,0.91643,0.95106,0.74529,0.8256,0.56824,0.97616,3.9215e-05,3.9215e-05,3.9215e-05
67,1205.7,0.60703,0.65343,0.96643,0.90645,0.92627,0.9521,0.75699,0.7716,0.55742,0.95559,3.8126e-05,3.8126e-05,3.8126e-05
68,1223.58,0.59316,0.63365,0.93824,0.91475,0.92819,0.95551,0.77309,0.71381,0.54043,0.94261,3.7037e-05,3.7037e-05,3.7037e-05
69,1242.01,0.61051,0.64098,0.97894,0.90466,0.92857,0.94645,0.73482,0.81582,0.58137,0.96843,3.5948e-05,3.5948e-05,3.5948e-05
70,1261,0.58593,0.63259,0.952,0.9054,0.93203,0.95073,0.76052,0.74561,0.55568,0.94684,3.4859e-05,3.4859e-05,3.4859e-05
71,1278.84,0.55956,0.61323,0.95241,0.89346,0.95467,0.95261,0.77195,0.70512,0.55064,0.93433,3.377e-05,3.377e-05,3.377e-05
72,1296.7,0.60453,0.62914,0.95733,0.88631,0.95339,0.94406,0.75035,0.76458,0.56263,0.95684,3.2681e-05,3.2681e-05,3.2681e-05
73,1314.48,0.57806,0.61939,0.96639,0.89843,0.95086,0.95103,0.73669,0.83328,0.57289,0.97379,3.1592e-05,3.1592e-05,3.1592e-05
74,1332.43,0.57205,0.61845,0.94528,0.9013,0.92396,0.95043,0.77642,0.70703,0.53965,0.93792,3.0503e-05,3.0503e-05,3.0503e-05
75,1361.84,0.56702,0.61018,0.95083,0.90011,0.92904,0.95059,0.74523,0.79461,0.56282,0.96395,2.9414e-05,2.9414e-05,2.9414e-05
76,1401.65,0.57037,0.61581,0.94305,0.89701,0.92782,0.94898,0.77557,0.69013,0.54358,0.93313,2.8325e-05,2.8325e-05,2.8325e-05
77,1442.43,0.56968,0.60373,0.94646,0.90278,0.92856,0.94456,0.75794,0.75781,0.54614,0.95507,2.7236e-05,2.7236e-05,2.7236e-05
78,1482.63,0.56804,0.59406,0.94614,0.89994,0.94427,0.95519,0.74952,0.81427,0.5556,0.96468,2.6147e-05,2.6147e-05,2.6147e-05
79,1526.63,0.57635,0.6186,0.94629,0.92121,0.91219,0.9514,0.77531,0.70675,0.52622,0.93107,2.5058e-05,2.5058e-05,2.5058e-05
