epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.57429,1.41084,5.12137,1.36543,0,0,0,0,1.38893,4.72432,1.37702,7.84e-06,7.84e-06,7.84e-06
2,8.3337,1.34575,5.07115,1.33219,0,0,0,0,1.26861,4.70338,1.2858,1.64674e-05,1.64674e-05,1.64674e-05
3,10.8231,1.21648,4.96335,1.27132,0,0,0,0,1.16839,4.68966,1.21716,2.47399e-05,2.47399e-05,2.47399e-05
4,13.1973,1.16295,4.8727,1.24787,0,0,0,0,1.06246,4.67287,1.14854,3.26576e-05,3.26576e-05,3.26576e-05
5,15.6229,1.1418,4.77056,1.23475,0,0,0,0,0.92598,4.63367,1.07354,4.02205e-05,4.02205e-05,4.02205e-05
6,18.1229,1.10955,4.59129,1.20873,0,0,0,0,0.85977,4.55507,1.02536,4.74286e-05,4.74286e-05,4.74286e-05
7,20.6779,1.1261,4.27775,1.22901,0.27692,0.10261,0.18252,0.15018,0.85046,4.45674,1.01057,5.42819e-05,5.42819e-05,5.42819e-05
8,23.334,1.11537,3.96121,1.2246,0.22127,0.46013,0.29212,0.23098,0.85473,4.22366,1.00177,6.07804e-05,6.07804e-05,6.07804e-05
9,26.3615,1.13267,3.59927,1.23701,0.35063,0.66471,0.48574,0.38935,0.8603,3.79433,1.01978,6.6924e-05,6.6924e-05,6.6924e-05
10,28.9928,1.08725,3.25431,1.25847,0.3839,0.77472,0.57296,0.46058,0.87197,3.42089,1.05192,7.27129e-05,7.27129e-05,7.27129e-05
11,31.5877,1.12494,2.97265,1.27358,0.72673,0.54168,0.67867,0.54148,0.93457,2.71163,1.07537,7.81469e-05,7.81469e-05,7.81469e-05
12,34.0279,1.10922,2.73931,1.26416,0.55944,0.72257,0.71924,0.56224,0.95606,2.23328,1.07743,8.32261e-05,8.32261e-05,8.32261e-05
13,36.4827,1.12247,2.64359,1.27624,0.60463,0.84092,0.77906,0.6015,0.96023,1.76686,1.08508,8.53888e-05,8.53888e-05,8.53888e-05
14,38.8996,1.11338,2.40931,1.24128,0.73874,0.77898,0.84389,0.6465,0.95935,1.45313,1.08145,8.31712e-05,8.31712e-05,8.31712e-05
15,41.3768,1.11629,2.27108,1.24356,0.79843,0.84462,0.90376,0.68854,0.95754,1.25829,1.0795,8.09536e-05,8.09536e-05,8.09536e-05
16,43.7639,1.12858,2.15112,1.24415,0.87764,0.85324,0.9495,0.7194,0.96594,1.10048,1.08571,7.8736e-05,7.8736e-05,7.8736e-05
17,46.2365,1.07262,2.10754,1.22109,0.90571,0.92434,0.96996,0.73075,0.96659,1.00881,1.08957,7.65184e-05,7.65184e-05,7.65184e-05
18,48.7368,1.0752,1.92761,1.20571,0.94426,0.93615,0.97853,0.72949,0.97186,0.94347,1.08506,7.43008e-05,7.43008e-05,7.43008e-05
19,51.23,1.00352,1.75324,1.1561,0.96983,0.94634,0.98079,0.73178,0.97353,0.89477,1.08523,7.20832e-05,7.20832e-05,7.20832e-05
