epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,555.648,0.54589,0.81481,0.91398,0.97084,0.96892,0.98126,0.88305,0.43539,0.45468,0.82436,2.55136e-05,2.55136e-05,2.55136e-05
41,570.035,0.46971,0.85346,0.86727,0.97547,0.95824,0.98093,0.88211,0.451,0.47229,0.82642,2.3296e-05,2.3296e-05,2.3296e-05
42,583.913,0.45748,0.84588,0.85927,0.94682,0.97642,0.98044,0.87084,0.46244,0.46403,0.82795,2.10784e-05,2.10784e-05,2.10784e-05
43,598.302,0.45871,0.8071,0.85252,0.95108,0.98224,0.98274,0.88559,0.42849,0.43396,0.82137,1.88608e-05,1.88608e-05,1.88608e-05
44,611.043,0.44456,0.80017,0.85985,0.97064,0.96727,0.98443,0.88582,0.43081,0.43178,0.81953,1.66432e-05,1.66432e-05,1.66432e-05
45,624.616,0.43868,0.80216,0.85634,0.95832,0.98493,0.98346,0.8897,0.42397,0.43057,0.81796,1.44256e-05,1.44256e-05,1.44256e-05
46,639.559,0.42066,0.76503,0.85564,0.97269,0.962,0.98249,0.88864,0.4213,0.42122,0.81721,1.2208e-05,1.2208e-05,1.2208e-05
47,653.56,0.41697,0.7584,0.84322,0.95544,0.98167,0.98231,0.88787,0.42981,0.42063,0.81826,9.9904e-06,9.9904e-06,9.9904e-06
48,667.454,0.43552,0.78047,0.85144,0.9527,0.98292,0.98349,0.88757,0.43023,0.42313,0.81799,7.7728e-06,7.7728e-06,7.7728e-06
49,681.558,0.42643,0.75548,0.84925,0.97589,0.96223,0.98419,0.89052,0.42797,0.42156,0.81727,5.5552e-06,5.5552e-06,5.5552e-06
50,696.184,0.42251,0.76676,0.84383,0.95709,0.98494,0.98439,0.89233,0.4259,0.42151,0.81743,3.3376e-06,3.3376e-06,3.3376e-06
