epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.24367,1.42887,5.07021,1.36335,0,0,0,0,1.38296,4.54726,1.29748,6.84e-06,6.84e-06,6.84e-06
2,6.69587,1.39879,5.0074,1.36098,0,0,0,0,1.29328,4.52505,1.23432,1.45266e-05,1.45266e-05,1.45266e-05
3,9.07678,1.26625,4.89894,1.28764,0,0,0,0,1.19531,4.5002,1.16489,2.18971e-05,2.18971e-05,2.18971e-05
4,11.1672,1.23464,4.81794,1.2509,0,0,0,0,1.10613,4.46841,1.10714,2.89517e-05,2.89517e-05,2.89517e-05
5,13.4111,1.15263,4.70678,1.22069,0,0,0,0,0.97526,4.41982,1.03884,3.56902e-05,3.56902e-05,3.56902e-05
6,15.6232,1.10354,4.53732,1.18796,0,0,0,0,0.91414,4.35138,1.00565,4.21127e-05,4.21127e-05,4.21127e-05
7,17.846,1.12128,4.25654,1.18745,0.5,0.03348,0.26674,0.20011,0.89121,4.19243,0.98801,4.82193e-05,4.82193e-05,4.82193e-05
8,19.8644,1.16761,4.0631,1.18078,0.26353,0.2619,0.26639,0.2158,0.90283,4.03524,0.98743,5.40098e-05,5.40098e-05,5.40098e-05
9,22.4288,1.12336,3.9029,1.17176,0.2051,0.63065,0.36873,0.28976,0.92913,3.64909,0.98637,5.94843e-05,5.94843e-05,5.94843e-05
10,24.5525,1.2024,3.65017,1.22653,0.18678,0.69866,0.38515,0.30673,0.94351,3.32997,0.98651,6.46428e-05,6.46428e-05,6.46428e-05
11,26.7032,1.1452,3.3166,1.20414,0.56351,0.46667,0.47465,0.37368,0.95524,3.00389,0.99711,6.94853e-05,6.94853e-05,6.94853e-05
12,28.8235,1.16887,3.06535,1.23407,0.62674,0.57135,0.55745,0.43751,0.96689,2.54905,1.04441,7.40118e-05,7.40118e-05,7.40118e-05
13,31.0166,1.17806,3.01623,1.25273,0.62357,0.56833,0.5647,0.44079,0.96684,2.52572,1.05216,7.82222e-05,7.82222e-05,7.82222e-05
14,33.059,1.14679,2.73179,1.22168,0.73191,0.55508,0.67673,0.51934,0.96671,2.17469,1.08626,8.21167e-05,8.21167e-05,8.21167e-05
15,35.0595,1.15168,2.54045,1.20617,0.78465,0.60917,0.75727,0.57711,0.96636,1.80107,1.11452,8.23992e-05,8.23992e-05,8.23992e-05
16,37.1567,1.11915,2.2162,1.19605,0.77093,0.68488,0.84126,0.63896,0.96105,1.44731,1.11155,8.0142e-05,8.0142e-05,8.0142e-05
17,39.2026,1.09632,2.35925,1.20554,0.74333,0.76186,0.87297,0.65788,0.96187,1.28889,1.11075,7.78848e-05,7.78848e-05,7.78848e-05
18,41.3595,1.09299,2.09627,1.17545,0.88299,0.86443,0.92856,0.70888,0.96377,1.05661,1.11746,7.56276e-05,7.56276e-05,7.56276e-05
19,43.451,1.14522,1.97221,1.20876,0.90656,0.89016,0.95554,0.7301,0.9639,0.91637,1.13035,7.33704e-05,7.33704e-05,7.33704e-05
20,45.5342,1.14616,1.93512,1.21996,0.94109,0.92003,0.97623,0.73186,0.95632,0.8331,1.13554,7.11132e-05,7.11132e-05,7.11132e-05
21,47.4974,1.07952,1.75376,1.14058,0.93439,0.93691,0.97911,0.73905,0.95365,0.81174,1.13593,6.8856e-05,6.8856e-05,6.8856e-05
