label,s
yolo_detection,0.027770
yolo_detection,0.027961
yolo_detection,0.024316
yolo_detection,0.023744
yolo_detection,0.025826
yolo_detection,0.025390
yolo_detection,0.028071
yolo_detection,0.027680
yolo_detection,0.028290
yolo_detection,0.026051
yolo_detection,0.025583
yolo_detection,0.027274
yolo_detection,0.026632
yolo_detection,0.027165
yolo_detection,0.029605
yolo_detection,0.027637
yolo_detection,0.026589
yolo_detection,0.028085
yolo_detection,0.027252
yolo_detection,0.026845
yolo_detection,0.027046
yolo_detection,0.026974
yolo_detection,0.028634
yolo_detection,0.026168
yolo_detection,0.027520
yolo_detection,0.027181
yolo_detection,0.025030
yolo_detection,0.021865
yolo_detection,0.021902
yolo_detection,0.022022
yolo_detection,0.023098
yolo_detection,0.022621
yolo_detection,0.025226
yolo_detection,0.026482
yolo_detection,0.027274
yolo_detection,0.023848
yolo_detection,0.022186
yolo_detection,0.022181
yolo_detection,0.023056
yolo_detection,0.027061
yolo_detection,0.025326
yolo_detection,0.022303
yolo_detection,0.022606
yolo_detection,0.022637
yolo_detection,0.023118
yolo_detection,0.025359
yolo_detection,0.023019
yolo_detection,0.029813
yolo_detection,0.028015
yolo_detection,0.033224
yolo_detection,0.023558
yolo_detection,0.023221
yolo_detection,0.022315
yolo_detection,0.023001
yolo_detection,0.023720
yolo_detection,0.022384
yolo_detection,0.022605
yolo_detection,0.022396
yolo_detection,0.029845
yolo_detection,0.028191
yolo_detection,0.029125
yolo_detection,0.023036
yolo_detection,0.022455
yolo_detection,0.022409
yolo_detection,0.027548
yolo_detection,0.023332
yolo_detection,0.031335
yolo_detection,0.037792
yolo_detection,0.030854
yolo_detection,0.024017
yolo_detection,0.022498
yolo_detection,0.022112
yolo_detection,0.022074
yolo_detection,0.022221
yolo_detection,0.022355
yolo_detection,0.022898
yolo_detection,0.028793
yolo_detection,0.022695
yolo_detection,0.022693
yolo_detection,0.027433
yolo_detection,0.023178
yolo_detection,0.022409
yolo_detection,0.026246
yolo_detection,0.022802
yolo_detection,0.023860
yolo_detection,0.022653
yolo_detection,0.023486
yolo_detection,0.022715
yolo_detection,0.022362
yolo_detection,0.022387
yolo_detection,0.022833
yolo_detection,0.022259
yolo_detection,0.022764
yolo_detection,0.022801
yolo_detection,0.028153
yolo_detection,0.022842
yolo_detection,0.022849
yolo_detection,0.028467
yolo_detection,0.022498
yolo_detection,0.022627
yolo_detection,0.022697
yolo_detection,0.023094
yolo_detection,0.023363
yolo_detection,0.022857
yolo_detection,0.023473
yolo_detection,0.022750
yolo_detection,0.022922
yolo_detection,0.024997
yolo_detection,0.033142
yolo_detection,0.039394
yolo_detection,0.026635
yolo_detection,0.027268
yolo_detection,0.024934
yolo_detection,0.025274
yolo_detection,0.030873
yolo_detection,0.026737
yolo_detection,0.024776
yolo_detection,0.025321
yolo_detection,0.025049
yolo_detection,0.025465
yolo_detection,0.025427
yolo_detection,0.025409
yolo_detection,0.025061
yolo_detection,0.024889
yolo_detection,0.029731
yolo_detection,0.024772
yolo_detection,0.025018
yolo_detection,0.025227
yolo_detection,0.025086
yolo_detection,0.025149
yolo_detection,0.026957
yolo_detection,0.025130
yolo_detection,0.024669
yolo_detection,0.025119
yolo_detection,0.024566
yolo_detection,0.024674
yolo_detection,0.025187
yolo_detection,0.024700
yolo_detection,0.025073
yolo_detection,0.037525
yolo_detection,0.024551
yolo_detection,0.021958
yolo_detection,0.022957
yolo_detection,0.026147
yolo_detection,0.030094
yolo_detection,0.028908
yolo_detection,0.028055
yolo_detection,0.035016
yolo_detection,0.025329
yolo_detection,0.026828
yolo_detection,0.023619
yolo_detection,0.026577
yolo_detection,0.027403
yolo_detection,0.022243
yolo_detection,0.027434
yolo_detection,0.022618
yolo_detection,0.022140
yolo_detection,0.028293
yolo_detection,0.029903
yolo_detection,0.031946
yolo_detection,0.029400
yolo_detection,0.024793
yolo_detection,0.029669
yolo_detection,0.031381
yolo_detection,0.029637
yolo_detection,0.028561
yolo_detection,0.028343
yolo_detection,0.028861
yolo_detection,0.028703
yolo_detection,0.028711
yolo_detection,0.028391
yolo_detection,0.026110
yolo_detection,0.025775
yolo_detection,0.028335
yolo_detection,0.028811
yolo_detection,0.027155
yolo_detection,0.027931
yolo_detection,0.026588
yolo_detection,0.026485
yolo_detection,0.029974
yolo_detection,0.028522
yolo_detection,0.029460
yolo_detection,0.025840
yolo_detection,0.030145
yolo_detection,0.028570
yolo_detection,0.026617
yolo_detection,0.024752
yolo_detection,0.026191
yolo_detection,0.023971
yolo_detection,0.025172
yolo_detection,0.026315
yolo_detection,0.026205
yolo_detection,0.024353
yolo_detection,0.025719
yolo_detection,0.025640
yolo_detection,0.028550
yolo_detection,0.027904
yolo_detection,0.028053
yolo_detection,0.025966
yolo_detection,0.026696
yolo_detection,0.026958
yolo_detection,0.026599
yolo_detection,0.027711
yolo_detection,0.025774
yolo_detection,0.026494
yolo_detection,0.026168
yolo_detection,0.026364
yolo_detection,0.025922
yolo_detection,0.028797
yolo_detection,0.026262
yolo_detection,0.026279
yolo_detection,0.025436
yolo_detection,0.024283
yolo_detection,0.023364
yolo_detection,0.220234
yolo_detection,0.058012
yolo_detection,0.049313
yolo_detection,0.041756
yolo_detection,0.038042
yolo_detection,0.035487
yolo_detection,0.044832
yolo_detection,0.036940
yolo_detection,0.040312
yolo_detection,0.034718
yolo_detection,0.044592
yolo_detection,0.032943
yolo_detection,0.034088
yolo_detection,0.043782
yolo_detection,0.033544
yolo_detection,0.040380
yolo_detection,0.038052
yolo_detection,0.036688
yolo_detection,0.034757
yolo_detection,0.035225
yolo_detection,0.036449
yolo_detection,0.032697
yolo_detection,0.029943
yolo_detection,0.038365
yolo_detection,0.035467
yolo_detection,0.033148
yolo_detection,0.031755
yolo_detection,0.036714
yolo_detection,0.034671
yolo_detection,0.035735
yolo_detection,0.032517
yolo_detection,0.033602
yolo_detection,0.033010
yolo_detection,0.029350
yolo_detection,0.029153
yolo_detection,0.027276
yolo_detection,0.024190
yolo_detection,0.025375
yolo_detection,0.025292
yolo_detection,0.462347
yolo_detection,0.042141
yolo_detection,0.039614
yolo_detection,0.029478
yolo_detection,0.033365
yolo_detection,0.029828
yolo_detection,0.038868
yolo_detection,0.041441
yolo_detection,0.042878
yolo_detection,0.042320
yolo_detection,0.035776
yolo_detection,0.037181
yolo_detection,0.035761
yolo_detection,0.035577
yolo_detection,0.034912
yolo_detection,0.034293
yolo_detection,0.026504
yolo_detection,0.025416
yolo_detection,0.028115
yolo_detection,0.028213
yolo_detection,0.028151
yolo_detection,0.025419
yolo_detection,0.026482
yolo_detection,0.026499
yolo_detection,0.025515
yolo_detection,0.027430
yolo_detection,0.026502
yolo_detection,0.021557
yolo_detection,0.029207
yolo_detection,0.024976
yolo_detection,0.023023
yolo_detection,0.020294
yolo_detection,0.022418
yolo_detection,0.024032
yolo_detection,0.020907
yolo_detection,0.020308
yolo_detection,0.022840
yolo_detection,0.022727
yolo_detection,0.022390
yolo_detection,0.020472
yolo_detection,0.025487
yolo_detection,0.023607
yolo_detection,0.018580
yolo_detection,0.023213
yolo_detection,0.017838
yolo_detection,0.017559
yolo_detection,0.019126
yolo_detection,0.019136
yolo_detection,0.017872
yolo_detection,0.017701
yolo_detection,0.017668
yolo_detection,0.019244
yolo_detection,0.019216
yolo_detection,0.017710
yolo_detection,0.019420
yolo_detection,0.017906
yolo_detection,0.019842
yolo_detection,0.018801
yolo_detection,0.019830
yolo_detection,0.020893
yolo_detection,0.021237
yolo_detection,0.021970
yolo_detection,0.023930
yolo_detection,0.023985
yolo_detection,0.022896
yolo_detection,0.021293
yolo_detection,0.023137
yolo_detection,0.022814
yolo_detection,0.024430
yolo_detection,0.021133
yolo_detection,0.021144
yolo_detection,0.020741
yolo_detection,0.020367
yolo_detection,0.022977
yolo_detection,0.023177
yolo_detection,0.033356
yolo_detection,0.018265
yolo_detection,0.017932
yolo_detection,0.021151
yolo_detection,0.020498
yolo_detection,0.019826
yolo_detection,0.017770
yolo_detection,0.017921
yolo_detection,0.017630
yolo_detection,0.019229
yolo_detection,0.017755
yolo_detection,0.017700
yolo_detection,0.017776
yolo_detection,0.017808
yolo_detection,0.018086
yolo_detection,0.019667
yolo_detection,0.019049
yolo_detection,0.020221
yolo_detection,0.021534
yolo_detection,0.018300
yolo_detection,0.021866
yolo_detection,0.022082
yolo_detection,0.020520
yolo_detection,0.020838
yolo_detection,0.023264
yolo_detection,0.021568
yolo_detection,0.023705
yolo_detection,0.023089
yolo_detection,0.021391
yolo_detection,0.022316
yolo_detection,0.022117
yolo_detection,0.021986
yolo_detection,0.022149
yolo_detection,0.021761
yolo_detection,0.022277
yolo_detection,0.022020
yolo_detection,0.022174
yolo_detection,0.022025
