epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,124.389,0.9078,1.21227,1.09007,0.98481,0.85839,0.97093,0.7542,0.96967,0.75767,1.05815,2.74836e-05,2.74836e-05,2.74836e-05
40,127.232,0.91786,1.18728,1.08743,0.98462,0.85055,0.97093,0.74975,0.97104,0.75776,1.05659,2.52858e-05,2.52858e-05,2.52858e-05
41,131.102,0.79601,1.23079,1.00512,0.89431,0.95523,0.97258,0.75484,0.96539,0.74623,1.05365,2.3088e-05,2.3088e-05,2.3088e-05
42,133.989,0.77211,1.17839,0.99611,0.89892,0.96855,0.97294,0.75552,0.96686,0.74105,1.05246,2.08902e-05,2.08902e-05,2.08902e-05
43,137.191,0.77976,1.18257,1.01678,0.9015,0.96502,0.97279,0.75595,0.96542,0.74131,1.04818,1.86924e-05,1.86924e-05,1.86924e-05
44,141.502,0.7906,1.17546,0.99853,0.90494,0.96821,0.97584,0.76028,0.96627,0.75195,1.04419,1.64946e-05,1.64946e-05,1.64946e-05
45,144.748,0.78369,1.21819,1.01403,0.95764,0.91049,0.98453,0.76738,0.9626,0.7548,1.04142,1.42968e-05,1.42968e-05,1.42968e-05
46,148.189,0.79329,1.18059,0.96834,0.95186,0.92563,0.98536,0.76762,0.95951,0.75769,1.03781,1.2099e-05,1.2099e-05,1.2099e-05
47,151.392,0.79469,1.17625,1.00582,0.94609,0.94543,0.98536,0.76738,0.95681,0.75901,1.0364,9.9012e-06,9.9012e-06,9.9012e-06
48,154.627,0.75608,1.16221,0.98892,0.95206,0.94775,0.98495,0.76763,0.95285,0.75439,1.0362,7.7034e-06,7.7034e-06,7.7034e-06
49,157.737,0.7692,1.16243,0.97969,0.95524,0.94785,0.98495,0.76511,0.94896,0.74566,1.03669,5.5056e-06,5.5056e-06,5.5056e-06
50,160.791,0.78166,1.20098,0.96637,0.95575,0.94874,0.98495,0.7632,0.94834,0.73879,1.03735,3.3078e-06,3.3078e-06,3.3078e-06
